survey_year,respondent_id,switched_from,switched_to,primary_switch_reason,secondary_switch_reason,age_group,region,household_income_bracket,satisfaction_score
2015,10228,Broadcast TV,YouTube,Convenience,,18-24,Midwest,$75K-$150K,6.89
2015,10051,Broadcast TV,Spotify,Content Selection,Recommendation,55+,South,$75K-$150K,8.0
2015,11518,newspaper,Amazon Prime Video,Device Availability,Device Availability,35-44,West,>$150K,8.0
2015,10563,Cable,Netflix,Price,,18-24,South,<$35K,8.0
2015,10501,Cable,Max,Device Availability,,55+,South,>$150K,6.89
2015,10457,broadcast tv,Peacock,Recommendation,,18-24,Northeast,<$35K,9.0
2015,10285,Satellite radio,Amazon Prime Video,Content Selection,,25-34,West,$35K-$75K,7.0
2015,11508,Satellite Radio,Netflix,Device Availability,,18-24,Northeast,$35K-$75K,8.0
2015,10209,Cable television,Netflix,Content Selection,Recommendation,35-44,West,$75K-$150K,3.0
2015,11385,Broadcast,Amazon Prime Video,Convenience,Price,55+,Northeast,$75K-$150K,
2015,11516,Broadcast,Netflix,Bundling,Content Selection,18-24,Northeast,$35K-$75K,3.0
2015,11827,Cable TV,Peacock,Device Availability,,55+,Midwest,$75K-$150K,9.0
2015,11116,Cable television,Disney+,Device Availability,,45-54,Midwest,<$35K,9.3
2015,10178,broadcast tv,Disney+,Convenience,,25-34,Midwest,$75K-$150K,7.0
2015,11209,Broadcast TV,Spotify,Convenience,,18-24,South,$75K-$150K,7.44
2015,10864,broadcast tv,Amazon Prime Video,Device Availability,,35-44,West,$75K-$150K,7.0
2015,10065,Cable television,Max,Price,Content Selection,35-44,South,>$150K,
2015,10061,Cable,Spotify,Price,,55+,South,>$150K,6.0
2015,10191,Satellite Radio,Apple TV+,Content Selection,,18-24,Midwest,>$150K,9.75
2015,10447,Cable,Peacock,Price,Convenience,45-54,South,$75K-$150K,6.0
2015,10476,Cable TV,Paramount+,Content Selection,Recommendation,35-44,Midwest,$35K-$75K,7.25
2015,11034,cable tv,Apple TV+,Device Availability,,55+,Midwest,<$35K,9.0
