year_month,platform_name,media_type,avg_hours_per_user_per_month,monthly_active_users_millions,avg_sessions_per_user_per_month,retention_rate_pct,region
01/2015,Netflix,Streaming,32.75,64.72,9.1,0.9165,North America
2015-01,Netflix,Streaming,32.75,64.72,9.1,0.9165,Europe
2015-01,Netflix,Streaming,32.75,64.72,9.1,0.9165,APAC
03/2015,Netflix,Streaming,31.9,65.18,8.8,0.9268,North America
2015-03,Netflix,Streaming,31.9,65.18,8.8,92.7%,Europe
2015-03,Netflix,Streaming,31.9,65.18,8.8,0.9268,APAC
2015-04,Netflix,Streaming,31.68,67.06,8.3,0.9069,North America
2015-04,Netflix,Streaming,31.68,67.06,8.3,90.7%,Europe
2015-04,Netflix,Streaming,31.68,67.06,8.3,0.9069,APAC
2015-06,Netflix,Streaming,33.0,62.8,8.3,0.8953,North America
2015-06,Netflix,Streaming,33.0,62.8,8.3,89.5%,Europe
06/2015,Netflix,Streaming,33.0,62.8,8.3,0.8953,APAC
2015-07,Netflix,Streaming,31.25,67.58,7.9,0.9039,North America
2015-07,Netflix,Streaming,31.25,67.58,7.9,0.9039,Europe
2015-07,Netflix,Streaming,31.25,67.58,7.9,0.9039,APAC
2015-08,Netflix,Streaming,35.09,66.82,7.9,0.9142,North America
2015-08,Netflix,Streaming,35.09,66.82,7.9,0.9142,Europe
2015-08,Netflix,Streaming,35.09,66.82,7.9,0.9142,APAC
09/2015,Netflix,Streaming,32.21,67.82,8.7,0.9025,North America
2015-09,Netflix,Streaming,32.21,67.82,8.7,90.2%,Europe
2015-09,Netflix,Streaming,32.21,67.82,8.7,90.2%,APAC
2015-10,Netflix,Streaming,32.25,67.34,9.3,0.9085,North America
2015-10,Netflix,Streaming,32.25,67.34,9.3,0.9085,Europe
2015-10,Netflix,Streaming,32.25,67.34,9.3,0.9085,APAC
2015-11,Netflix,Streaming,33.26,66.13,8.0,0.9232,North America
2015-11,Netflix,Streaming,33.26,66.13,8.0,92.3%,Europe
2015-11,Netflix,Streaming,33.26,66.13,8.0,92.3%,APAC
2015-12,Netflix,Streaming,33.72,64.66,8.6,0.9022,North America
2015-12,Netflix,Streaming,33.72,64.66,8.6,0.9022,Europe
2015-12,Netflix,Streaming,33.72,64.66,8.6,0.9022,APAC
2016-01,Netflix,Streaming,34.64,69.24,8.4,0.9148,North America
01/2016,Netflix,Streaming,34.64,69.24,8.4,0.9148,Europe
2016-01,Netflix,Streaming,34.64,69.24,8.4,0.9148,APAC
2016-02,Netflix,Streaming,31.45,67.79,8.9,0.9119,North America
2016-02,Netflix,Streaming,31.45,67.79,8.9,0.9119,Europe
2016-02,Netflix,Streaming,31.45,67.79,8.9,0.9119,APAC
2016-03,Netflix,Streaming,34.31,66.02,8.3,0.9202,North America
2016-03,Netflix,Streaming,34.31,66.02,8.3,0.9202,Europe
2016-03,Netflix,Streaming,34.31,66.02,8.3,0.9202,APAC
2016-04,Netflix,Streaming,32.9,71.1,8.9,0.9278,North America
2016-04,Netflix,Streaming,32.9,71.1,8.9,0.9278,Europe
2016-04,Netflix,Streaming,32.9,71.1,8.9,92.8%,APAC
05/2016,Netflix,Streaming,32.79,69.58,8.9,92.1%,North America
2016-05,Netflix,Streaming,32.79,69.58,8.9,0.9213,Europe
2016-05,Netflix,Streaming,32.79,69.58,8.9,92.1%,APAC
2016-06,Netflix,Streaming,33.46,70.15,8.0,0.9074,North America
2016-06,Netflix,Streaming,33.46,70.15,8.0,0.9074,Europe
2016-06,Netflix,Streaming,33.46,70.15,8.0,90.7%,APAC
2016-07,Netflix,Streaming,35.52,73.56,8.9,0.9183,North America
2016-07,Netflix,Streaming,35.52,73.56,8.9,0.9183,Europe
2016-07,Netflix,Streaming,35.52,73.56,8.9,91.8%,APAC
2016-08,Netflix,Streaming,34.97,69.88,9.2,0.9231,North America
2016-08,Netflix,Streaming,34.97,69.88,9.2,0.9231,Europe
2016-08,Netflix,Streaming,34.97,69.88,9.2,0.9231,APAC
2016-09,Netflix,Streaming,34.51,74.63,8.8,0.8938,North America
2016-09,Netflix,Streaming,34.51,74.63,8.8,0.8938,Europe
2016-09,Netflix,Streaming,34.51,74.63,8.8,0.8938,APAC
2016-10,Netflix,Streaming,34.82,71.23,7.7,0.9214,North America
2016-10,Netflix,Streaming,34.82,71.23,7.7,0.9214,Europe
2016-10,Netflix,Streaming,34.82,71.23,7.7,92.1%,APAC
2016-11,Netflix,Streaming,34.49,72.86,8.3,93.6%,North America
2016-11,Netflix,Streaming,34.49,72.86,8.3,0.9358,Europe
2016-11,Netflix,Streaming,34.49,72.86,8.3,0.9358,APAC
12/2016,Netflix,Streaming,33.73,71.47,8.6,0.9307,North America
2016-12,Netflix,Streaming,33.73,71.47,8.6,93.1%,Europe
2016-12,Netflix,Streaming,33.73,71.47,8.6,93.1%,APAC
2017-01,Netflix,Streaming,34.28,73.83,8.9,0.923,North America
01/2017,Netflix,Streaming,34.28,73.83,8.9,0.923,Europe
2017-01,Netflix,Streaming,34.28,73.83,8.9,0.923,APAC
2017-02,Netflix,Streaming,34.15,72.47,7.9,0.9186,North America
2017-02,Netflix,Streaming,34.15,72.47,7.9,0.9186,Europe
2017-02,Netflix,Streaming,34.15,72.47,7.9,0.9186,APAC
2017-03,Netflix,Streaming,35.77,73.97,8.4,0.9231,North America
2017-03,Netflix,Streaming,35.77,73.97,8.4,0.9231,Europe
2017-03,Netflix,Streaming,35.77,73.97,8.4,92.3%,APAC
2017-04,Netflix,Streaming,33.33,72.93,8.2,0.9201,North America
2017-04,Netflix,Streaming,33.33,72.93,8.2,0.9201,Europe
2017-04,Netflix,Streaming,33.33,72.93,8.2,92.0%,APAC
2017-05,Netflix,Streaming,35.34,74.91,8.6,0.9429,North America
2017-05,Netflix,Streaming,35.34,74.91,8.6,0.9429,Europe
05/2017,Netflix,Streaming,35.34,74.91,8.6,0.9429,APAC
2017-06,Netflix,Streaming,36.1,74.28,8.5,0.9053,North America
06/2017,Netflix,Streaming,36.1,74.28,8.5,0.9053,Europe
2017-06,Netflix,Streaming,36.1,74.28,8.5,0.9053,APAC
2017-07,Netflix,Streaming,35.93,79.68,8.6,0.9231,North America
2017-07,Netflix,Streaming,35.93,79.68,8.6,92.3%,Europe
2017-07,Netflix,Streaming,35.93,79.68,8.6,0.9231,APAC
2017-08,Netflix,Streaming,35.92,72.74,8.8,0.9369,North America
2017-08,Netflix,Streaming,35.92,72.74,8.8,0.9369,Europe
08/2017,Netflix,Streaming,35.92,72.74,8.8,0.9369,APAC
2017-09,Netflix,Streaming,37.28,73.58,7.9,0.94,North America
2017-09,Netflix,Streaming,37.28,73.58,7.9,94.0%,Europe
2017-09,Netflix,Streaming,37.28,73.58,7.9,0.94,APAC
2017-10,Netflix,Streaming,37.1,80.11,8.3,0.9166,North America
2017-10,Netflix,Streaming,37.1,80.11,8.3,0.9166,Europe
2017-10,Netflix,Streaming,37.1,80.11,8.3,0.9166,APAC
11/2017,Netflix,Streaming,36.5,75.04,8.5,0.9115,North America
2017-11,Netflix,Streaming,36.5,75.04,8.5,0.9115,Europe
2017-11,Netflix,Streaming,36.5,75.04,8.5,0.9115,APAC
2017-12,Netflix,Streaming,34.89,77.32,9.2,0.9183,North America
2017-12,Netflix,Streaming,34.89,77.32,9.2,0.9183,Europe
12/2017,Netflix,Streaming,34.89,77.32,9.2,0.9183,APAC
2018-01,Netflix,Streaming,35.43,76.06,8.0,0.9361,North America
2018-01,Netflix,Streaming,35.43,76.06,8.0,0.9361,Europe
2018-01,Netflix,Streaming,35.43,76.06,8.0,0.9361,APAC
2018-02,Netflix,Streaming,37.08,79.64,8.6,0.9124,North America
2018-02,Netflix,Streaming,37.08,79.64,8.6,91.2%,Europe
2018-02,Netflix,Streaming,37.08,79.64,8.6,0.9124,APAC
2018-03,Netflix,Streaming,37.25,78.91,7.9,0.9166,North America
2018-03,Netflix,Streaming,37.25,78.91,7.9,91.7%,Europe
2018-03,Netflix,Streaming,37.25,78.91,7.9,0.9166,APAC
2018-04,Netflix,Streaming,37.77,78.27,8.6,93.2%,North America
